Player,Pos,Age,Tm,G,MP,FG,FGA,FGPct,ThreeP,ThreePA,ThreePPct,eFGPct,FT,FTA,FTPct,TRB,AST,STL,BLK,PTS
Thomas Bryant,C,22,WAS,46,24.9,5.3,9.1,0.581,0.8,2,0.407,0.626,1.9,2.5,0.741,7.2,1.8,0.5,1.1,13.2
Reggie Bullock,SG,28,NYK,29,23.6,3.1,7.7,0.402,1.3,3.8,0.333,0.484,0.6,0.7,0.81,2.3,1.4,0.9,0.1,8.1
Trey Burke,PG,27,DAL,8,23.9,4.4,10.3,0.427,2,4.6,0.432,0.524,1.3,1.4,0.909,1.9,3.8,1.1,0.1,12
Alec Burks,SG,28,PHI,18,20.2,4.3,9.3,0.461,1.8,4.3,0.416,0.557,1.9,2.3,0.829,3.1,2.1,0.7,0,12.2
Deonte Burton,SF,26,OKC,39,9.1,1.1,3.2,0.344,0.3,1.4,0.189,0.384,0.2,0.4,0.571,1.5,0.4,0.2,0.3,2.7
Jimmy Butler,SF,30,MIA,58,33.8,5.9,13.1,0.455,0.5,2.1,0.244,0.474,7.6,9.1,0.834,6.7,6,1.8,0.6,19.9
Bruno Caboclo,C,24,HOU,8,6.5,1.3,2.5,0.5,0.3,1,0.25,0.55,0.8,0.8,1,2,0.3,0.6,0.6,3.5
Devontae Cacok,C,23,LAL,1,9,3,6,0.5,0,0,,0.5,0,0,,5,1,0,0,6
Kentavious Caldwell-Pope,SG,26,LAL,69,25.5,3.4,7.3,0.467,1.3,3.5,0.385,0.558,1.1,1.5,0.775,2.1,1.6,0.8,0.2,9.3
Vlatko Čančar,PF,22,DEN,14,3.2,0.4,1.1,0.4,0.1,0.4,0.167,0.433,0.3,0.3,1,0.7,0.2,0.1,0.1,1.2
Clint Capela,C,25,HOU,39,32.8,6.3,9.9,0.629,0,0,,0.629,1.4,2.7,0.529,13.8,1.2,0.8,1.8,13.9
DeMarre Carroll,C,33,HOU,9,17.2,1.8,4.1,0.432,0.6,2.2,0.25,0.5,1.9,2.4,0.773,2.7,1.6,0.7,0.3,6
Jevon Carter,PG,24,PHO,58,16.3,1.7,4.2,0.416,1.1,2.5,0.425,0.543,0.4,0.5,0.852,2,1.4,0.8,0.3,4.9
Vince Carter,PF,43,ATL,60,14.6,1.8,5.1,0.352,1,3.4,0.302,0.452,0.4,0.5,0.793,2.1,0.8,0.4,0.4,5
Wendell Carter Jr.,C,20,CHI,43,29.2,4.3,8,0.534,0.1,0.7,0.207,0.542,2.6,3.5,0.737,9.4,1.2,0.8,0.8,11.3
Michael Carter-Williams,SG,28,ORL,45,18.5,2.5,5.8,0.427,0.5,1.7,0.293,0.469,1.8,2.1,0.832,3.3,2.4,1.1,0.5,7.2
Alex Caruso,PG,25,LAL,64,18.4,1.9,4.5,0.412,0.6,1.9,0.333,0.481,1.1,1.5,0.734,1.9,1.9,1.1,0.3,5.5
Willie Cauley-Stein,C,26,DAL,13,12.1,2.4,3.5,0.689,0,0.1,0,0.689,0.4,0.7,0.556,4.6,0.8,0.3,0.8,5.2
Tyson Chandler,C,37,HOU,26,8.4,0.5,0.7,0.778,0,0,,0.778,0.2,0.5,0.462,2.5,0.2,0.2,0.3,1.3
Wilson Chandler,PF,32,BRK,35,21,2.1,5.2,0.404,1.1,3.5,0.306,0.505,0.6,0.7,0.87,4.1,1.1,0.5,0.3,5.9
Joe Chealey,PG,24,CHO,4,8.3,0,1.8,0,0,1,0,0,0.5,0.5,1,0,0.3,1,0,0.5
Zylan Cheatham,PF,24,NOP,4,12.8,1.5,2.3,0.667,0,0.3,0,0.667,0,0,,2.3,0.8,0.3,0.3,3
Chris Chiozza,PG,24,BRK,18,15.4,2.5,5.9,0.425,1.1,3.1,0.357,0.519,0.3,0.3,1,2.1,3.1,0.6,0.1,6.4
Marquese Chriss,PF,22,GSW,59,20.3,3.6,6.5,0.545,0.1,0.7,0.205,0.556,2,2.6,0.769,6.2,1.9,0.7,1.1,9.3
Gary Clark,SF,25,ORL,24,14.8,1.3,3.1,0.419,0.9,2.5,0.35,0.561,0.1,0.1,1,2.9,0.2,0.2,0.6,3.6
Brandon Clarke,PF,23,MEM,58,22.4,5.1,8.3,0.618,0.4,1.1,0.359,0.642,1.5,1.9,0.759,5.9,1.4,0.6,0.8,12.1
Jordan Clarkson,SG,27,UTA,42,24.7,6,12.9,0.462,2.2,6,0.366,0.548,1.5,1.9,0.785,2.8,1.6,0.7,0.2,15.6
Nicolas Claxton,C,20,BRK,15,12.5,1.8,3.2,0.563,0.1,0.5,0.143,0.573,0.7,1.4,0.524,2.9,1.1,0.1,0.5,4.4
Chris Clemons,SG,22,HOU,33,8.8,1.7,4.3,0.401,1.1,3.2,0.346,0.532,0.3,0.3,0.909,0.9,0.8,0.3,0.2,4.9
Antonius Cleveland,SG,25,DAL,11,4.2,0.4,1.3,0.286,0,0.3,0,0.286,0.3,0.5,0.6,0.6,0.1,0.1,0.3,1
Amir Coffey,SG,22,LAC,18,8.8,1.3,3,0.426,0.3,1.1,0.316,0.481,0.3,0.6,0.545,0.9,0.8,0.3,0.1,3.2
John Collins,PF,22,ATL,41,33.2,8.6,14.8,0.583,1.4,3.6,0.401,0.632,2.9,3.7,0.8,10.1,1.5,0.8,1.6,21.6
Zach Collins,PF,22,POR,11,26.4,2.9,6.2,0.471,0.6,1.7,0.368,0.522,0.5,0.7,0.75,6.3,1.5,0.5,0.5,7
Mike Conley,PG,32,UTA,47,29,4.9,12.1,0.409,2,5.4,0.375,0.494,2.4,3,0.827,3.2,4.4,0.8,0.1,14.4
Pat Connaughton,SG,27,MIL,67,18.6,2,4.5,0.455,0.8,2.5,0.331,0.547,0.5,0.6,0.775,4.2,1.6,0.4,0.5,5.4
Quinn Cook,PG,26,LAL,44,11.5,2.1,4.9,0.425,0.7,1.9,0.365,0.498,0.3,0.3,0.786,1.2,1.1,0.3,0,5.1
Tyler Cook,SF,22,DEN,2,9.5,0.5,1,0.5,0,0,,0.5,1,1,1,2,0,1,0,2
Robert Covington,C,29,HOU,22,33,4,10.3,0.392,2.4,7.6,0.315,0.509,1.1,1.4,0.8,8,1.5,1.6,2.2,11.6
Allen Crabbe,SF,27,MIN,9,14.6,1.2,3.8,0.324,0.7,2.9,0.231,0.412,0.1,0.2,0.5,1.3,0.6,0,0,3.2
Torrey Craig,SF,29,DEN,58,18.5,2.1,4.6,0.461,0.8,2.4,0.326,0.545,0.4,0.6,0.611,3.3,0.8,0.4,0.6,5.4
Jamal Crawford,SG,39,BRK,1,6,2,4,0.5,1,2,0.5,0.625,0,0,,0,3,0,0,5
Jae Crowder,PF,29,MIA,20,27.7,4,8.2,0.482,2.9,6.4,0.445,0.655,1.1,1.5,0.733,5.4,1.8,1.3,0.5,11.9
Jarrett Culver,SG,20,MIN,63,23.9,3.7,9,0.404,1,3.5,0.299,0.462,0.9,1.9,0.462,3.4,1.7,0.9,0.6,9.2
Seth Curry,SG,29,DAL,64,24.6,4.4,9,0.495,2.3,5,0.452,0.621,1.3,1.5,0.825,2.3,1.9,0.6,0.1,12.4
Stephen Curry,PG,31,GSW,5,27.8,6.6,16.4,0.402,2.4,9.8,0.245,0.476,5.2,5.2,1,5.2,6.6,1,0.4,20.8
Troy Daniels,SG,28,DEN,6,12.7,1.7,4.7,0.357,1,3.3,0.3,0.464,0,0,,1,0.5,0.5,0,4.3
Anthony Davis,PF,26,LAL,62,34.4,8.9,17.7,0.503,1.2,3.5,0.33,0.536,7.2,8.5,0.846,9.3,3.2,1.5,2.3,26.1
Ed Davis,C,30,UTA,28,10.8,0.8,1.6,0.478,0,0,,0.478,0.3,0.5,0.5,3.8,0.4,0.4,0.3,1.8
Terence Davis,SG,22,TOR,72,16.8,2.8,6.1,0.456,1.3,3.4,0.388,0.564,0.7,0.8,0.864,3.3,1.6,0.5,0.2,7.5
Dewayne Dedmon,C,30,ATL,10,23.3,3.3,8.4,0.393,0.8,3.6,0.222,0.44,0.7,0.8,0.875,8.2,0.7,1,1.5,8.1
Matthew Dellavedova,PG,29,CLE,57,14.4,1.1,3.1,0.354,0.4,1.6,0.231,0.414,0.6,0.6,0.865,1.3,3.2,0.4,0,3.1
DeMar DeRozan,SF,30,SAS,68,34.1,8.2,15.4,0.531,0.1,0.5,0.257,0.535,5.6,6.6,0.845,5.5,5.6,1,0.3,22.1
Cheick Diallo,C,23,PHO,47,10.2,2,3,0.648,0,0.1,0.333,0.651,0.7,0.8,0.872,2.8,0.5,0.2,0.3,4.7
